No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
168 18272 407 24.7329 451  36.0055
169 18360 764 76.8134 791  96.0185
170 18400 320 18.2967 312  22.4106
171 18496  86  3.8686  79   4.6385
172 18576 557 38.8199 607  53.0442
173 18736 420 25.8689 370  27.8516
174 18888 487 31.5214 449  35.8538
175 18960 132  5.8051 108   6.3690
176 19160 236 12.6315 218  15.1595
177 19208  29  0.7207  40   1.7953
178 19536 373 21.7029 350  26.0890
179 19696 154  7.0159 148   8.6710
180 19752 662 52.2829 681  66.2664
181 19856 381 22.5027 334  24.4421
182 19976 385 23.2054 388  29.3781
183 20144 703 58.0609 700  70.8720
184 20152 248 13.7664 214  14.3519
185 20216 333 19.0128 379  28.5870
186 20240 645 49.8070 678  65.5611
187 20248 794 89.8826 778  91.3287
188 20328 490 31.6951 442  35.1374
189 20352 187  8.9681 167  10.0970
190 20424 246 13.6674 222  15.4675
191 20512 458 29.0255 418  32.6566
192 20528 255 14.4467 219  15.1627
193 20648  36  1.0510  26   1.1197
194 20776 171  7.8889 140   8.2123
195 20792 755 72.9912 750  81.7616
196 20840 393 23.7012 416  32.3055
197 20904 319 18.2884 332  24.1305
198 20992 667 53.0251 690  68.8826
199 21200  56  2.2610 119   6.8348
200 21688 166  7.5026 163   9.8832
201 21712 628 47.8035 585  50.2596
202 21752 307 17.4528 339  24.8283
203 21816 125  5.5361 158   9.5807
204 21872 634 48.7432 671  64.6779
205 21968 626 47.6944 677  65.4021
206 21976 753 72.5382 734  78.1036
207 22144 104  5.0112  92   5.3149
208 22264  79  3.3835  69   4.0406
209 22296 705 58.4783 651  61.8914
210 22520 165  7.4464 137   8.0720
211 22576 516 35.2548 493  39.9804
212 22608 330 18.8844 336  24.6227
213 22672 688 55.5395 645  61.1193
214 22712 283 16.1055 281  20.4676
215 22800 442 27.8641 406  31.1276
216 22888 664 52.4108 636  59.1996
217 22960 247 13.6917 226  16.0329
218 22992 597 42.7328 559  47.5288
219 23016 455 28.7186 467  37.4363
220 23152 624 47.5008 587  50.6605
221 23280 672 53.5876 783  92.4758
222 23296 304 17.2905 265  19.4122
223 23304 164  7.4109 384  29.0395
224 23440  26  0.5980  27   1.1268
225 23568 412 25.0448 431  34.0164
226 23584 146  6.5338 145   8.3113
227 23600 750 71.6658 744  81.0419
228 23616 384 23.0022 404  31.0087
229 23768 396 24.0980 399  30.4222
230 23832 389 23.4045 373  28.1992
231 24040 340 19.3710 302  21.8178
232 24160 682 54.1465 633  58.3295
233 24248 477 30.7450 475  38.0801
234 24304 714 60.6028 708  72.3490
235 24336 636 48.9038 639  60.1178
236 24392 555 38.6535 545  45.8394
